,ID1,Topic1,ID2,Topic2,Count
768,136162,css,142180,postgresql,12.0
770,136162,css,142976,dropdown,9.0
771,136162,css,143028,mysql,12.0
772,136162,css,143187,redmond,6.0
773,136162,css,145452,eng,56.0
775,136162,css,148510,may 2nd,20.0
777,136162,css,156175,bellevue,6.0
778,136162,css,156226,2017,46.0
779,136162,css,156235,cto,21.0
783,136162,css,156249,feb,14.0
784,136162,css,156250,startup,6.0
785,136162,css,156257,webapp,19.0
786,136162,css,156266,1st,28.0
789,136162,css,156328,etan,49.0
791,136162,css,156351,rowell,18.0
792,136162,css,156352,paulus,21.0
794,136162,css,156424,schaumburg,9.0
795,136162,css,156425,273,9.0
797,136162,css,156475,mcdonald,10.0
801,136162,css,156811,hyman,9.0
802,136162,css,156833,ssn,12.0
804,136162,css,158262,database,7.0
805,136162,css,158334,Bryan Starbuck,7.0
807,136162,css,158792,starbuck,46.0
808,136165,sidekiq,136091,honeybadger,8.0
809,136165,sidekiq,136113,ssh,6.0
810,136165,sidekiq,136114,adding,6.0
811,136165,sidekiq,136151,300,6.0
812,136165,sidekiq,136165,sidekiq,13.0
813,136165,sidekiq,136207,backend,8.0
815,136165,sidekiq,136257,devkota,13.0
816,136165,sidekiq,136275,saroj,57.0
817,136165,sidekiq,136304,maharjan,27.0
819,136165,sidekiq,136389,2016,79.0
822,136165,sidekiq,136879,pokharel,12.0
823,136165,sidekiq,137070,100,6.0
826,136165,sidekiq,137139,nov,28.0
827,136165,sidekiq,137778,checking,6.0
828,136165,sidekiq,138498,sushil,18.0
834,136165,sidekiq,141183,ios,7.0
836,136165,sidekiq,141531,october 11,6.0
837,136165,sidekiq,141774,2nd half,33.0
838,136165,sidekiq,142604,hellosign,6.0
839,136165,sidekiq,142931,nginx,7.0
843,136165,sidekiq,143082,3.0,6.0
846,136165,sidekiq,145452,eng,34.0
850,136165,sidekiq,151417,bioinformatics,6.0
851,136165,sidekiq,152591,nirajan,16.0
855,136165,sidekiq,156235,cto,24.0
857,136165,sidekiq,156242,shrestha,8.0
858,136165,sidekiq,156243,don’t,32.0
859,136165,sidekiq,156246,aws,6.0
860,136165,sidekiq,156250,startup,6.0
863,136165,sidekiq,156266,1st,6.0
866,136165,sidekiq,156301,ddos attack,10.0
868,136165,sidekiq,156345,justin mcdonald,22.0
869,136165,sidekiq,156351,rowell,12.0
870,136165,sidekiq,156352,paulus,6.0
874,136165,sidekiq,156475,mcdonald,9.0
875,136165,sidekiq,156499,reierson,6.0
876,136165,sidekiq,156579,uwo,6.0
881,136165,sidekiq,157344,newrelic,8.0
882,136165,sidekiq,158262,database,6.0
883,136165,sidekiq,158334,Bryan Starbuck,10.0
884,136165,sidekiq,158780,firewall,20.0
885,136165,sidekiq,158792,starbuck,63.0
886,136165,sidekiq,158793,roshan,9.0
887,136173,skype,136091,honeybadger,7.0
888,136173,skype,136119,fyi,7.0
890,136173,skype,136162,css,6.0
891,136173,skype,136173,skype,42.0
894,136173,skype,136218,feedback,6.0
897,136173,skype,136275,saroj,115.0
898,136173,skype,136304,maharjan,41.0
